id;name;clothing_type;season;colour;material
48908394-5bcd-450d-97b4-581688a6a156;white-grey checkered top;top;spring / summer / autumn;white-grey;cotton
c531f9a7-9bad-4137-a173-3451058e6938;brwon tshirt;tshirt;summer;brown;cotton
a75e9aa3-6e2f-4f62-b2a6-941d023cc90d;pale blue tshirt;tshirt;summer;blue;cotton
c1ce298a-2d7a-4d99-bd92-5187759819d1;white scrunch tshirt;tshirt;summer;white;cotton
3e2c3369-5393-410c-9fdd-e2b6c0159b26;navy sleeveless button down;blouse;summer;navy;viscose
1722c363-a179-41c5-8391-2869d6dd6109;white lace spage-hetti top;top;summer;white;lace
b92a75f4-182c-42e0-8780-64769cac48c6;black lace spaghetti top;top;summer;black;lace
9e812491-3d78-4bc4-82f6-3ac39762e3ff;blue lace spaghetti top;top;summer;navy;lace
8046059e-9bee-4b15-b0e2-a2b6dd332a96;red spaghetti top;top;summer;burgundy;cotton
85aab27c-07ee-429c-8f79-8ed4d573c0d7;black spaghetti top;top;summer;black;cotton
d5803799-5c54-446d-975d-e85db9ff14ac;blue spaghetti top;top;summer;blue;cotton
75177e35-045f-409c-b9a9-6c4fddf7f44f;light blue coiderois;trousers;transition;blue;coiderois
cb749b63-8cac-465a-8441-73d5f85a5919;black white striped trousers;trousers;summer;black and white;polyester
daf1b100-7141-4af0-be39-69f94be545cb;black white striped shorts;shorts;summer;black and white;cotton
ff448488-bbd8-4157-8eef-75208198b239;blue and white striped shorts;shorts;summer;blue and white;cotton
cfc48dd5-a85d-4e17-9f89-a90c10314cbf;blue dress;dress;summer;blue;cotton
864206c0-8706-4423-9200-050dd35a50f5;black and white suit dress;dress;summer;black and white;suit
23d46522-91a6-43ba-9945-a515e3963d36;black flares;trousers;all;black;jeans
4d7c4953-b151-4a46-82c6-b9becbb2ae7c;black pinstripe suit trousers;trousers;spring / summer / autumn;black;suit
69e6343b-58de-47fa-a621-384e6e0f852f;grey aladin trousers;trousers;summer;grey;cotton
d8be8e09-6c82-4838-a868-86968a879397;grey jumper dress;dress;winter;grey;wool
d83ef362-44bf-4ec3-98ec-efcbd79b8592;red jumper dress;dress;winter;burgundy;wool
ad12b30d-d124-4463-a707-17864db3c485;blue tie on trousers;trousers;summer;blue;cotton
cc2bc6c7-82a1-47d9-a91a-8f2180138b87;black ribbed trousers;trousers;spring / summer / autumn;black;cotton
30c7a019-3c8b-4b31-a0da-f234f3f16cca;beige trousers;trousers;all;beige;cotton
7a609f0b-390d-436d-aad7-25167000c8fa;grey trousers checkered;trousers;all;grey;cotton
57eb3b67-8588-4f4e-b9a1-10b26a79c9ce;grey jeans;trousers;all;grey;jeans
f85fcfbb-5434-4907-82c1-d02253ec1e2a;dark blue jeans;trousers;all;jeans;jeans
b120f86d-7da2-4313-915c-eeb6fb7206a9;light blue jeans;trousers;all;jeans;jeans
390b445b-5966-4134-a886-0f81b222e09c;light grey suit trousers;trousers;all;grey;suit
fa248826-d6b8-4f4f-8914-ba2f633547c3;Babe's turquoise coiderois;trousers;winter;turquoise;coiderois
